Battery voltage [21],Coolant temp [18],Intake air temp [17],Lambda [5],MAP [20],RPM [61],Engine Oil Pressure [804],Engine Oil Temp [805],EGT 1  [128],EGT 2  [129],VSS Gear [90]
13.0200004577637,83.5,44.2999992370605,1.0110000371933,38.2000007629395,4282,266.100006103516,105.599998474121,658,422,1
12.6499996185303,83.5,44.2999992370605,1.02900004386902,37.5999984741211,4311,269,105.599998474121,661,424,1
13.0500001907349,83.5,44.4000015258789,1.00800001621246,38.2999992370605,4255,267.100006103516,105.599998474121,664,426,1
12.8000001907349,83.5,44.4000015258789,1.02999997138977,40.2999992370605,4111,261.200012207031,105.599998474121,667,428,1
13.0299997329712,83.4000015258789,44.4000015258789,1.03999996185303,40.7999992370605,4235,264.100006103516,106,671,430,1
13.0500001907349,83.5,44.4000015258789,1.04200005531311,42.5999984741211,4095,260.200012207031,106,674,432,1
13.0299997329712,83.5,44.4000015258789,1.03699994087219,43.2000007629395,4166,253.399993896484,105.900001525879,674,432,1
13.1099996566772,83.5,44.4000015258789,1.06500005722046,45.2999992370605,4058,260.200012207031,105.699996948242,678,435,1
13.0299997329712,83.5,44.4000015258789,1.04499995708466,46,4215,263.100006103516,105.599998474121,681,438,1
13.0100002288818,83.5,44.4000015258789,1.05900001525879,47.5999984741211,4078,260.200012207031,105.699996948242,684,440,1
13.0299997329712,83.5,44.4000015258789,1.03600001335144,48.5,4244,260.200012207031,105.599998474121,689,443,1
13.1400003433228,83.5,44.4000015258789,1.04999995231628,49,4230,264.100006103516,105.699996948242,692,446,1
13.1700000762939,83.4000015258789,44.5,1.05900001525879,48.7000007629395,4372,267.100006103516,106.099998474121,692,446,1
13.0600004196167,83.4000015258789,44.5,1.06900000572205,50,4181,266.100006103516,106,696,448,1
13.0799999237061,83.4000015258789,44.5,1.057000041008,49,4372,262.200012207031,105.699996948242,698,451,1
13.1199998855591,83.4000015258789,44.5,1.04900002479553,49.9000015258789,4264,266.100006103516,105.699996948242,702,454,1
13.1499996185303,83.4000015258789,44.5,1.05400002002716,48.9000015258789,4323,264.100006103516,105.599998474121,705,457,1
13.0699996948242,83.4000015258789,44.5,1.04900002479553,50.0999984741211,4119,259.200012207031,105.599998474121,708,459,1
13.1099996566772,83.4000015258789,44.5,1.05599999427795,48,4242,256.299987792969,105.699996948242,711,459,1
13.1000003814697,83.4000015258789,44.5,1.01699995994568,47.7999992370605,4094,256.299987792969,105.599998474121,711,462,1
13.1599998474121,83.4000015258789,44.5,1.01499998569489,45.4000015258789,4145,253.399993896484,106.099998474121,714,465,1
13.1899995803833,83.4000015258789,44.5,0.99099999666214,45.5999984741211,4045,258.299987792969,105.900001525879,717,468,1
13.0799999237061,83.4000015258789,44.5,1.00899994373322,44.5999984741211,4068,249.5,105.599998474121,720,471,1
13.0600004196167,83.4000015258789,44.5,0.998000025749207,45.2000007629395,3871,243.600006103516,105.599998474121,723,474,1
13.1800003051758,83.4000015258789,44.5,1.00100004673004,46.2000007629395,3869,249.5,105.599998474121,725,476,1
13.1999998092651,83.4000015258789,44.5,1.00600004196167,45.5999984741211,3963,246.5,105.599998474121,725,476,1
13.1800003051758,83.4000015258789,44.5,0.986999988555908,44.7999992370605,3896,245.600006103516,105.599998474121,728,478,1
